TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON,CHAMPION
Memphis Grizzlies,7,3,4,0.429,48.7,91.4,32.6,76.3,42.7,3.4,11.9,28.9,22.9,30.7,74.4,13.4,29.3,42.7,16.3,15.4,7.1,4.9,6.1,23.3,25.6,0.7,2012,0
Denver Nuggets,7,3,4,0.429,48,96.7,38.4,89.3,43,5.3,19,27.8,14.6,20.3,71.8,15.4,32.3,47.7,20.9,11.1,7,6.9,9.4,21,18.7,0.4,2012,0
Los Angeles Lakers,12,5,7,0.417,48,94,35.2,83.2,42.3,5.3,17.3,30.4,18.4,23.7,77.8,14.2,30.7,44.8,18.8,12.5,5.8,7.8,7.4,19.7,21.7,-4.2,2012,0
Los Angeles Clippers,11,4,7,0.364,48.5,90.9,34.5,75.3,45.8,6.2,16.4,37.8,15.8,23.7,66.7,8.7,28.1,36.8,17.3,14.7,9.5,6.5,5,24.1,21.5,-4.6,2012,0
Chicago Bulls,6,2,4,0.333,48,84.3,34,80.7,42.1,4.3,12.7,34.2,12,18.5,64.9,11.5,35.3,46.8,22.5,14.3,5.2,6.7,6.3,20.5,18.8,-1.7,2012,0
Atlanta Hawks,6,2,4,0.333,48.8,82.2,31.8,79.3,40.1,5.8,18.8,31,12.7,16.2,78.4,10,32.5,42.5,17.5,15.3,5.5,3.3,6.2,19.8,18.8,-4.7,2012,0
Orlando Magic,5,1,4,0.2,49,83.8,31,77.8,39.8,8.4,24.6,34.1,13.4,19,70.5,9.8,28.6,38.4,17.2,14,6,4.4,6.2,19,19,-10.8,2012,0
New York Knicks,5,1,4,0.2,48,82.8,30.6,73.4,41.7,5,18.2,27.5,16.6,21.8,76.1,12.4,28,40.4,12.6,18.4,6,2.2,3.8,24.2,19.8,-14,2012,0
Dallas Mavericks,4,0,4,0,48,93.3,31.5,78,40.4,8,21.5,37.2,22.3,26.8,83.2,10.5,30,40.5,15.5,14.5,8,3.5,7.3,20.8,24.3,-6.5,2012,0
Utah Jazz,4,0,4,0,48,86.3,32.8,85.8,38.2,2.3,11.3,20,18.5,26.3,70.5,16,32.5,48.5,16.8,13.5,6.5,6.8,5.5,20.3,19.8,-16,2012,0
Dallas Mavericks,21,16,5,0.762,48.2,98.2,34.5,74.9,46.1,8.8,22.2,39.4,20.5,25.4,80.9,9.7,28.7,38.4,20.1,12.9,7.1,4.1,5.1,20.1,21.6,5.8,2011,1
Miami Heat,21,14,7,0.667,48.5,92.8,32.6,73.3,44.5,5.9,17.9,33.1,21.6,27.8,77.7,10.1,30.9,41,16.5,13.9,7.3,6,4.2,19.2,21.5,2.7,2011,0
